,Washington,Florida,Kentucky,Kansas,North Dakota,New York,Massachusetts,Arizona,Nevada,Pennsylvania,Mississippi,Northern Mariana Islands,Georgia,Texas,Michigan,Arkansas,South Carolina,Maine,New Hampshire,West Virginia,Wisconsin,Vermont,Virginia,Rhode Island,Oklahoma,Montana,New Mexico,Hawaii,Oregon,Colorado,Utah,Connecticut,Louisiana,New Jersey,Wyoming,Ohio,Guam,Nebraska,Minnesota,Illinois,North Carolina,Virgin Islands,Indiana,Maryland,Alaska,Delaware,Idaho,Missouri,District of Columbia,South Dakota,Tennessee,Iowa,Alabama,Puerto Rico,California,date
83,525,498,106,63,9,12998,844,122,114,563,98,2,479,320,1603,30,87,19,23,9,155,27,149,73,98,7,31,9,53,308,18,602,884,2443,1,274,6,19,70,800,91,1,414,262,6,41,33,136,52,6,114,44,104,45,725,2020-04-13
84,552,570,115,69,9,14001,957,131,130,746,111,2,517,365,1767,32,97,20,27,10,172,28,154,80,109,7,36,9,55,329,19,671,1013,2805,1,324,6,21,79,878,116,1,458,302,7,43,39,151,67,6,123,44,114,45,778,2020-04-14
85,572,613,124,76,9,14937,1108,142,137,833,122,2,569,395,1920,34,107,24,32,12,184,29,195,87,123,7,36,9,58,355,20,868,1103,3156,2,361,6,22,87,958,128,1,511,413,7,46,41,164,72,6,135,53,123,51,885,2020-04-15
86,588,667,131,80,9,15669,1245,152,142,940,129,2,611,428,2092,37,109,27,34,13,197,34,208,105,131,7,44,9,64,374,21,971,1156,3518,2,389,6,24,94,1081,140,1,554,459,7,52,41,170,81,7,142,60,137,56,971,2020-04-16
87,610,725,140,84,9,16473,1404,174,151,1027,140,2,661,461,2227,37,116,29,37,16,205,34,238,118,136,8,51,9,70,389,23,1036,1213,3840,2,418,6,24,111,1142,159,2,599,494,7,61,43,184,86,7,146,64,151,58,1050,2020-04-17
88,629,747,145,86,9,17141,1560,181,155,1150,152,2,670,487,2307,38,119,32,38,18,212,36,258,137,139,10,53,9,72,409,25,1086,1267,4070,2,451,6,28,121,1272,175,3,633,534,7,67,44,194,91,7,148,74,147,60,1146,2020-04-18
89,637,773,149,94,10,17793,1706,188,158,1285,159,2,682,503,2389,39,120,34,41,20,222,36,277,150,140,10,55,10,74,421,27,1127,1296,4202,2,471,6,28,134,1302,183,3,652,548,7,67,45,196,96,7,151,75,160,41,1176,2020-04-19
90,661,822,155,101,13,18412,1809,191,163,1366,169,2,767,523,2466,42,124,35,42,26,231,37,300,155,143,12,58,10,75,448,28,1331,1328,4377,2,509,6,33,143,1359,187,3,666,582,7,72,48,201,105,7,156,79,164,42,1223,2020-04-20
91,683,866,172,107,13,19040,1961,213,163,1620,183,2,810,552,2698,43,135,36,42,26,243,39,325,171,164,12,65,12,78,484,32,1423,1405,4753,6,557,6,38,160,1479,217,3,731,652,7,82,51,221,112,8,159,83,186,43,1316,2020-04-21
92,696,926,185,111,14,19647,2182,236,187,1720,193,2,837,571,2813,44,140,39,48,29,247,39,349,181,169,14,71,12,78,526,34,1544,1532,5063,6,610,6,42,179,1577,242,3,764,698,7,89,54,236,127,9,169,90,201,46,1425,2020-04-22
93,717,986,194,112,15,20212,2360,257,195,1723,201,2,871,601,2977,45,150,44,51,31,257,42,375,189,179,14,78,12,83,557,35,1639,1599,5368,7,656,6,46,200,1696,253,3,811,748,7,92,54,248,139,9,172,96,197,69,1548,2020-04-23
94,731,1045,203,117,15,20759,2556,268,203,1786,209,2,889,625,3084,47,157,47,53,32,262,43,413,202,188,14,84,13,86,672,39,1764,1660,5617,7,690,6,50,221,1804,270,3,851,798,7,100,54,267,153,10,172,107,209,77,1619,2020-04-24
95,743,1054,208,119,16,21326,2730,275,206,1842,221,2,897,662,3273,48,166,50,60,33,266,45,436,215,194,14,93,14,87,670,41,1862,1703,5863,7,711,6,52,244,1884,304,3,897,875,7,112,56,280,165,10,179,112,213,83,1692,2020-04-25
96,757,1073,211,120,17,21804,2899,277,206,1871,227,2,907,676,3314,50,174,50,60,34,274,45,448,226,195,14,99,14,91,678,41,1925,1729,5938,7,728,6,54,272,1943,309,4,928,910,7,120,56,282,178,11,182,118,219,84,1716,2020-04-26
97,771,1087,216,126,19,22267,3003,277,219,1946,229,2,981,699,3406,51,177,51,60,37,281,46,458,233,197,14,104,16,92,705,41,2012,1740,6044,7,753,6,54,286,1992,331,4,932,945,7,125,58,296,185,11,184,127,228,84,1800,2020-04-27
98,792,1170,231,127,19,22777,3153,297,225,2092,239,2,1022,738,3566,57,192,51,60,38,300,46,492,239,207,15,110,16,99,734,45,2089,1801,6442,7,799,6,56,301,2132,353,4,992,1016,7,137,60,324,190,11,190,136,242,86,1884,2020-04-28
99,805,1216,235,132,19,23287,3405,308,237,2392,250,2,1086,776,3670,59,232,52,66,40,308,46,522,251,214,16,112,16,101,764,45,2168,1845,6770,7,937,6,67,319,2221,366,4,1065,1078,7,144,60,331,205,13,196,148,262,86,1961,2020-04-29
100,822,1267,240,133,19,23616,3562,320,243,2580,261,2,1121,828,3788,61,244,53,72,44,316,48,552,266,222,16,123,16,103,775,46,2257,1905,7228,7,975,6,70,343,2361,385,4,1114,1139,7,152,63,341,224,17,200,162,272,92,2057,2020-04-30
